player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Eli Rogers,WR,4.23,3.81,-3.4,11.85,3.9,2.53
Russell Shepard,WR,4.0,1.05,1.9,6.1,3.86,3.75
Tyler Boyd,WR,3.99,2.91,-1.83,9.82,4.19,3.56
Chris Godwin,WR,3.72,2.16,-0.6,8.04,3.24,3.28
Brice Butler,WR,3.48,1.7,0.09,6.88,4.11,3.98
Cordarrelle Patterson,WR,3.41,0.99,1.43,5.4,3.25,3.81
Laquon Treadwell,WR,3.37,1.41,0.56,6.18,3.09,3.1
Michael Campanaro,WR,3.07,1.71,-0.36,6.49,3.23,2.84
Phillip Dorsett,WR,3.04,3.11,-3.18,9.26,2.23,2.0
Aldrick Robinson,WR,3.01,1.59,-0.17,6.2,3.34,3.32
Sammie Coates,WR,2.92,1.25,0.41,5.42,2.62,2.97
Dontrelle Inman,WR,2.74,1.99,-1.24,6.73,2.03,1.86
ArDarius Stewart,WR,2.64,1.92,-1.2,6.48,1.97,2.02
Jarius Wright,WR,2.3,1.22,-0.14,4.74,1.84,3.02
Cody Core,WR,2.21,2.68,-3.15,7.56,1.68,1.18
Darrius Heyward-Bey,WR,2.2,2.83,-3.45,7.85,0.91,0.59
Brandon Tate,WR,2.05,1.64,-1.23,5.34,1.21,1.96
Pharoh Cooper,WR,2.02,2.03,-2.04,6.08,1.42,1.12
Kaelin Clay,WR,1.67,1.96,-2.25,5.59,3.01,0.94
Jalin Marshall,WR,1.61,1.08,-0.55,3.76,2.21,1.93
Kasen Williams,WR,1.53,1.46,-1.4,4.46,2.31,1.19
Mack Hollins,WR,1.45,1.11,-0.76,3.67,1.17,1.02
Demarcus Robinson,WR,1.44,1.63,-1.82,4.7,1.31,0.43
Arrelious Benn,WR,1.42,1.67,-1.91,4.76,1.1,0.9
Tre McBride,WR,1.39,1.21,-1.03,3.81,1.38,1.38
Bryce Treggs,WR,1.33,1.53,-1.73,4.39,1.34,0.52
DeAnthony Thomas,WR,1.31,1.06,-0.82,3.43,1.13,0.94
Alex Erickson,WR,1.27,1.5,-1.73,4.28,1.08,0.6
Brittan Golden,WR,1.13,0.96,-0.78,3.04,0.87,0.77
Justin Hunter,WR,1.1,0.72,-0.34,2.55,1.1,1.36
Amara Darboh,WR,0.87,0.7,-0.53,2.27,1.04,0.76
Harry Douglas,WR,0.85,1.46,-2.08,3.77,3.38,0.0
Jeff Janis,WR,0.79,1.07,-1.34,2.92,0.56,0.46
Jehu Chesson,WR,0.75,0.71,-0.67,2.17,0.76,0.62
Chad Williams,WR,0.73,0.7,-0.66,2.12,0.69,0.63
Braxton Miller,WR,0.68,0.73,-0.77,2.14,1.31,0.43
Tanner McEvoy,WR,0.67,0.69,-0.71,2.04,0.96,0.46
Chris Matthews,WR,0.66,0.71,-0.77,2.09,1.02,0.5
Ryan Switzer,WR,0.63,0.4,-0.17,1.43,0.51,0.48
Leonte Carroo,WR,0.61,0.4,-0.19,1.41,0.62,0.66
Quan Bray,WR,0.57,0.44,-0.31,1.45,0.75,0.64
Josh Reynolds,WR,0.55,0.05,0.45,0.65,0.55,0.55
Eric Weems,WR,0.54,0.62,-0.71,1.78,0.23,0.19
Jared Abbrederis,WR,0.5,0.59,-0.68,1.69,0.65,0.15
Jakeem Grant,WR,0.39,0.45,-0.51,1.29,0.28,0.29
Johnny Holton,WR,0.39,0.48,-0.58,1.35,0.25,0.24
Mike Thomas,WR,0.35,0.26,-0.17,0.86,0.51,0.43
Trevor Davis,WR,0.34,0.21,-0.07,0.76,0.29,0.24
Marcus Johnson,WR,0.33,0.36,-0.39,1.05,0.48,0.18
Chad Hansen,WR,0.32,0.21,-0.1,0.73,0.41,0.37
Chris Moore,WR,0.32,0.22,-0.13,0.76,0.34,0.3
Shelton Gibson,WR,0.32,0.32,-0.32,0.95,0.63,0.31
Noah Brown,WR,0.23,0.28,-0.33,0.78,0.4,0.12
Tanner Gentry,WR,0.22,0.32,-0.41,0.86,0.67,0.0
Josh Malone,WR,0.21,0.3,-0.38,0.8,0.63,0.0
Vince Mayle,WR,0.21,0.26,-0.31,0.73,0.52,0.0
Dwayne Harris,WR,0.17,0.21,-0.25,0.59,0.42,0.0
Geremy Davis,WR,0.14,0.19,-0.25,0.52,0.41,0.0
Stacy Coley,WR,0.1,0.2,-0.31,0.51,0.51,0.0
Matt Slater,WR,0.09,0.15,-0.2,0.38,0.06,0.01
Matt Hazel,WR,0.09,0.16,-0.22,0.4,0.36,0.0
Jordan Leslie,WR,0.0,0.0,0.0,0.0,,0.0
Dom Williams,WR,0.0,0.0,0.0,0.0,,0.0
Krishawn Hogan,WR,0.0,0.0,0.0,0.0,,0.0
Devin Lucien,WR,0.0,0.0,0.0,0.0,,0.0
Rashad Greene,WR,0.0,0.0,0.0,0.0,,0.0
Rashawn Scott,WR,0.0,0.0,0.0,0.0,,0.0
Rueben Randle,WR,0.0,0.0,0.0,0.0,,0.0
Corey Brown,WR,0.0,0.0,0.0,0.0,,0.0
Rodney Adams,WR,0.0,0.0,0.0,0.0,,0.0
Kalif Raymond,WR,0.0,0.0,0.0,0.0,,0.0
Steve Johnson,WR,0.0,0.0,0.0,0.0,,0.0
